Car;Link;Price (RUR);Year
Audi S8 IV (D5) Рестайлинг4.0 л / 571 л.с. / Бензинавтоматседанполныйчёрный;https://auto.ru/cars/used/sale/audi/s8/1121002125-70a94684/;20150000;2023
Audi Q7 45 TDI II (4M) Рестайлинг3.0 л / 231 л.с. / Дизельавтоматвнедорожник 5 дв.полный45 TDI quattro tiptronic (5 seat)57 опций;https://auto.ru/cars/new/group/audi/q7/21647042/23520932/1120018809-c1e8a201/;от 12330000;2023
Audi Q7 50 TDI II (4M) Рестайлинг3.0 л / 286 л.с. / Дизельавтоматвнедорожник 5 дв.полныйчёрный;https://auto.ru/cars/used/sale/audi/q7/1119295620-20fdda37/;10200000;2023
Audi Q8 55 TFSI I3.0 л / 340 л.с. / Бензинавтоматвнедорожник 5 дв.полныйчёрный;https://auto.ru/cars/used/sale/audi/q8/1120882466-1fad80a5/;10610000;2023
Audi Q7 60 TFSI e II (4M) Рестайлинг3.0 л / 462 л.с. / Гибридавтоматвнедорожник 5 дв.полныйчёрный;https://auto.ru/cars/used/sale/audi/q7/1118953594-ef0a621d/;7790000;2022
Audi RS 7 II (4K)4.0 л / 600 л.с. / Бензинавтоматлифтбекполныйчёрный;https://auto.ru/cars/used/sale/audi/rs7/1120907758-ea5fa286/;19240000;2022
Audi Q7 55 TFSI II (4M) Рестайлинг3.0 л / 340 л.с. / Бензинавтоматвнедорожник 5 дв.полныйбелый;https://auto.ru/cars/used/sale/audi/q7/1119372279-7e51736c/;9290000;2022
Audi Q5 Sportback 40 TDI I (FY)2.0 л / 204 л.с. / Дизельроботвнедорожник 5 дв.полныйчёрный;https://auto.ru/cars/used/sale/audi/q5_sportback/1120607685-1d457e3b/;8040000;2022
Audi Q7 55 TFSI II (4M) Рестайлинг3.0 л / 340 л.с. / Бензинавтоматвнедорожник 5 дв.полныйбелый;https://auto.ru/cars/used/sale/audi/q7/1119372279-7e51736c/;9290000;2022
Audi A7 45 TDI II (4K)3.0 л / 231 л.с. / Дизельавтоматлифтбекполныйчёрный;https://auto.ru/cars/used/sale/audi/a7/1121000414-f6fdf823/;6580000;2022
