Car;Link;Price (RUR);Year
Audi A3 40 TFSI IV (8Y)2.0 л / 190 л.с. / Бензинроботседанполныйсиний;https://auto.ru/cars/used/sale/audi/a3/1120856934-663b8d02/;3440000;2022
Audi A3 Sportback 35 TFSI IV (8Y)1.4 л / 150 л.с. / Бензинавтоматхэтчбек 5 дв.переднийсиний;https://auto.ru/cars/used/sale/audi/a3/1120728119-221e24d3/;3780000;2022
Audi A3 40 TFSI IV (8Y)2.0 л / 190 л.с. / Бензинроботседанполныйчёрный;https://auto.ru/cars/used/sale/audi/a3/1119278196-48d49c87/;4070000;2022
Audi A3 35 TDI IV (8Y)2.0 л / 150 л.с. / Дизельроботседанпереднийкрасный;https://auto.ru/cars/used/sale/audi/a3/1120962816-e9e45fec/;3600000;2021
Audi A3 30 TFSI IV (8Y)1.0 л / 110 л.с. / Бензинмеханикаседанпереднийсиний;https://auto.ru/cars/used/sale/audi/a3/1120644352-f012e920/;3440000;2021
Audi A3 35 TDI IV (8Y)2.0 л / 150 л.с. / Дизельроботхэтчбек 5 дв.переднийсиний;https://auto.ru/cars/used/sale/audi/a3/1120851573-b19beb20/;3580000;2021
Audi A3 30 TFSI IV (8Y)1.0 л / 110 л.с. / Бензинроботхэтчбек 5 дв.переднийсиний;https://auto.ru/cars/used/sale/audi/a3/1120957958-e0e23586/;3090000;2021
Audi A3 40 TDI IV (8Y)2.0 л / 200 л.с. / Дизельроботседанполныйсиний;https://auto.ru/cars/used/sale/audi/a3/1120635273-c7e05306/;3800000;2021
Audi A3 35 TDI IV (8Y)2.0 л / 150 л.с. / Дизельроботседанпереднийсиний;https://auto.ru/cars/used/sale/audi/a3/1120316364-9bffdf38/;2900000;2021
Audi A3 40 TFSI IV (8Y)2.0 л / 190 л.с. / Бензинроботседанполныйкрасный;https://auto.ru/cars/used/sale/audi/a3/1120361162-53811d99/;3440000;2021
Audi A3 40 TFSI IV (8Y)2.0 л / 190 л.с. / Бензинроботседанполныйсерый;https://auto.ru/cars/used/sale/audi/a3/1120348067-bd11b205/;3320000;2021
Audi A3 35 TFSI IV (8Y)1.4 л / 150 л.с. / Бензинавтоматхэтчбек 5 дв.переднийчёрный;https://auto.ru/cars/used/sale/audi/a3/1120127468-f18f0e4c/;3380000;2021
